Beds,Baths,TotalRooms,Area,Type,Address,Sector_or_Block,Region,Town,City,Price
3,4,7,2200,Apartment,"Block A, Bashundhara R-A, Dhaka",Block A,Bashundhara R-A,Bashundhara R-A,Dhaka,50000.0
3,4,7,1400,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,30000.0
3,4,7,1950,Apartment,"Block F, Bashundhara R-A, Dhaka",Block F,Bashundhara R-A,Bashundhara R-A,Dhaka,30000.0
3,3,6,2000,Apartment,"Sector 9, Uttara, Dhaka",Sector 9,Uttara,Uttara,Dhaka,35000.0
3,4,7,1650,Apartment,"Block I, Bashundhara R-A, Dhaka",Block I,Bashundhara R-A,Bashundhara R-A,Dhaka,25000.0
5,5,10,3400,Apartment,"Gulshan 1, Gulshan, Dhaka",No Sector/Block,Gulshan 1,Gulshan,Dhaka,110000.00000000001
3,3,6,1600,Apartment,"Sector 6, Uttara, Dhaka",Sector 6,Uttara,Uttara,Dhaka,35000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,23000.0
3,4,7,2150,Apartment,"Sector 10, Uttara, Dhaka",Sector 10,Uttara,Uttara,Dhaka,40000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,23000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,23000.0
3,3,6,1580,Apartment,"Bayazid, Chattogram",No Sector/Block,Bayazid,Bayazid,Chattogram,20000.0
4,4,8,3200,Apartment,"Gulshan 1, Gulshan, Dhaka",No Sector/Block,Gulshan 1,Gulshan,Dhaka,250000.0
3,3,6,3000,Apartment,"Gulshan 2, Gulshan, Dhaka",No Sector/Block,Gulshan 2,Gulshan,Dhaka,120000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,21000.0
3,4,7,1800,Apartment,"Sector 12, Uttara, Dhaka",Sector 12,Uttara,Uttara,Dhaka,60000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,21000.0
3,3,6,2000,Apartment,"Block D, Bashundhara R-A, Dhaka",Block D,Bashundhara R-A,Bashundhara R-A,Dhaka,40000.0
3,4,7,1750,Apartment,"Block C, Bashundhara R-A, Dhaka",Block C,Bashundhara R-A,Bashundhara R-A,Dhaka,30000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,23000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,23000.0
3,3,6,1310,Apartment,"Ward 23, Chowdhuripara, Khilgaon, Dhaka",No Sector/Block,Chowdhuripara,Khilgaon,Dhaka,28000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,21000.0
3,4,7,2200,Apartment,"Sector 3, Uttara, Dhaka",Sector 3,Uttara,Uttara,Dhaka,60000.0
3,4,7,1700,Apartment,"Banani, Dhaka",No Sector/Block,Banani,Banani,Dhaka,75000.0
4,4,8,2750,Apartment,"Dhanmondi, Dhaka",No Sector/Block,Dhanmondi,Dhanmondi,Dhaka,120000.0
3,2,5,1400,Apartment,"Dhanmondi, Dhaka",No Sector/Block,Dhanmondi,Dhanmondi,Dhaka,28000.0
4,4,8,2500,Apartment,"Block J, Baridhara, Dhaka",Block J,Baridhara,Baridhara,Dhaka,55000.0
1,1,2,550,Apartment,"West Shewrapara, Mirpur, Dhaka",No Sector/Block,West Shewrapara,Mirpur,Dhaka,12000.0
3,2,5,1050,Apartment,"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",Block D,West Rampura,Rampura,Dhaka,21000.0
2,4,6,1350,Apartment,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,30000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,23000.0
4,5,9,3590,Apartment,"Banani DOHS, Dhaka",No Sector/Block,Banani DOHS,Banani DOHS,Dhaka,200000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,21000.0
4,5,9,2200,Apartment,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,110000.00000000001
3,3,6,1250,Apartment,"Block J, Bashundhara R-A, Dhaka",Block J,Bashundhara R-A,Bashundhara R-A,Dhaka,20000.0
1,1,2,400,Apartment,"Khilkhet, Dhaka",No Sector/Block,Khilkhet,Khilkhet,Dhaka,10000.0
3,3,6,1250,Apartment,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",Block C,Dhaka Uddan,Mohammadpur,Dhaka,18000.0
3,3,6,2400,Apartment,"Gulshan 2, Gulshan, Dhaka",No Sector/Block,Gulshan 2,Gulshan,Dhaka,150000.0
1,1,2,500,Apartment,"Mohammadi Housing LTD., Mohammadpur, Dhaka",No Sector/Block,Mohammadi Housing LTD.,Mohammadpur,Dhaka,10000.0
3,3,6,1650,Apartment,"Banani, Dhaka",No Sector/Block,Banani,Banani,Dhaka,85000.0
4,3,7,1700,Apartment,"Block D, Section 2, Mirpur, Dhaka",Block D,Section 2,Mirpur,Dhaka,30000.0
3,3,6,1600,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,70000.0
4,4,8,2300,Apartment,"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",Block D,West Rampura,Rampura,Dhaka,43000.0
3,3,6,1250,Apartment,"Block K, Bashundhara R-A, Dhaka",Block K,Bashundhara R-A,Bashundhara R-A,Dhaka,21000.0
5,6,11,4350,Duplex,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,110000.00000000001
4,5,9,3200,Apartment,"Block C, Bashundhara R-A, Dhaka",Block C,Bashundhara R-A,Bashundhara R-A,Dhaka,100000.0
4,5,9,2000,Apartment,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",No Sector/Block,North Khulshi,Khulshi,Chattogram,80000.0
3,4,7,2000,Apartment,"Kalabagan, Dhaka",No Sector/Block,Kalabagan,Kalabagan,Dhaka,45000.0
3,3,6,1200,Apartment,"Mohammadia Housing Society, Mohammadpur, Dhaka",No Sector/Block,Mohammadia Housing Society,Mohammadpur,Dhaka,25000.0
4,4,8,2300,Apartment,"Block F, Bashundhara R-A, Dhaka",Block F,Bashundhara R-A,Bashundhara R-A,Dhaka,55000.0
4,3,7,1800,Apartment,"Kafrul, Dhaka",No Sector/Block,Kafrul,Kafrul,Dhaka,40000.0
2,2,4,800,Apartment,"Mohakhali DOHS, Dhaka",No Sector/Block,Mohakhali DOHS,Mohakhali DOHS,Dhaka,35000.0
3,4,7,2146,Apartment,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,55000.0
3,3,6,1315,Apartment,"10 No. North Kattali Ward, Chattogram",No Sector/Block,10 No. North Kattali Ward,10 No. North Kattali Ward,Chattogram,26000.0
3,3,6,1500,Apartment,"Sector 4, Uttara, Dhaka",Sector 4,Uttara,Uttara,Dhaka,35000.0
